"年","月","日","都道府県","PCR検査陽性者数","PCR検査人数","患者数（2020年3月28日からは感染者数）","現在は入院等","退院者","死亡者"
2020,3,11,"北海道",118,1069,0,0,0,0
2020,3,11,"青森",0,58,0,0,0,0
2020,3,11,"岩手",0,20,0,0,0,0
2020,3,11,"宮城",1,94,0,0,0,0
2020,3,11,"秋田",2,40,0,0,0,0
2020,3,11,"山形",0,96,0,0,0,0
2020,3,11,"福島",1,93,0,0,0,0
2020,3,11,"茨城",0,302,0,0,0,0
2020,3,11,"栃木",2,170,0,0,0,0
2020,3,11,"群馬",1,81,0,0,0,0
2020,3,11,"埼玉",12,264,0,0,0,0
2020,3,11,"千葉",25,0,0,0,0,0
2020,3,11,"東京",73,1440,0,0,0,0
2020,3,11,"神奈川",43,0,0,0,0,0
2020,3,11,"新潟",11,0,0,0,0,0
2020,3,11,"富山",0,44,0,0,0,0
2020,3,11,"石川",7,134,0,0,0,0
2020,3,11,"福井",0,71,0,0,0,0
2020,3,11,"山梨",2,236,0,0,0,0
2020,3,11,"長野",3,231,0,0,0,0
2020,3,11,"岐阜",2,201,0,0,0,0
2020,3,11,"静岡",2,0,0,0,0,0
2020,3,11,"愛知",104,274,0,0,0,0
2020,3,11,"三重",2,155,0,0,0,0
2020,3,11,"滋賀",1,88,0,0,0,0
2020,3,11,"京都",15,440,0,0,0,0
2020,3,11,"大阪",81,0,0,0,0,0
2020,3,11,"兵庫",35,443,0,0,0,0
2020,3,11,"奈良",8,102,0,0,0,0
2020,3,11,"和歌山",14,982,0,0,0,0
2020,3,11,"鳥取",0,82,0,0,0,0
2020,3,11,"島根",0,64,0,0,0,0
2020,3,11,"岡山",0,125,0,0,0,0
2020,3,11,"広島",1,290,0,0,0,0
2020,3,11,"山口",3,113,0,0,0,0
2020,3,11,"徳島",1,62,0,0,0,0
2020,3,11,"香川",0,88,0,0,0,0
2020,3,11,"愛媛",2,149,0,0,0,0
2020,3,11,"高知",12,157,0,0,0,0
2020,3,11,"福岡",3,492,0,0,0,0
2020,3,11,"佐賀",0,47,0,0,0,0
2020,3,11,"長崎",0,133,0,0,0,0
2020,3,11,"熊本",6,0,0,0,0,0
2020,3,11,"大分",1,137,0,0,0,0
2020,3,11,"宮崎",1,78,0,0,0,0
2020,3,11,"鹿児島",0,0,0,0,0,0
2020,3,11,"沖縄",3,190,0,0,0,0
2020,3,12,"北海道",128,1250,0,0,0,0
2020,3,12,"青森",0,66,0,0,0,0
2020,3,12,"岩手",0,22,0,0,0,0
2020,3,12,"宮城",1,100,0,0,0,0
2020,3,12,"秋田",2,92,0,0,0,0
2020,3,12,"山形",0,103,0,0,0,0
2020,3,12,"福島",1,100,0,0,0,0
2020,3,12,"茨城",0,342,0,0,0,0
2020,3,12,"栃木",2,193,0,0,0,0
2020,3,12,"群馬",1,103,0,0,0,0
2020,3,12,"埼玉",18,440,0,0,0,0
2020,3,12,"千葉",27,0,0,0,0,0
2020,3,12,"東京",75,1524,0,0,0,0
2020,3,12,"神奈川",43,0,0,0,0,0
2020,3,12,"新潟",14,0,0,0,0,0
2020,3,12,"富山",0,47,0,0,0,0
2020,3,12,"石川",7,144,0,0,0,0
2020,3,12,"福井",0,73,0,0,0,0
2020,3,12,"山梨",2,251,0,0,0,0
2020,3,12,"長野",3,245,0,0,0,0
2020,3,12,"岐阜",2,205,0,0,0,0
2020,3,12,"静岡",3,0,0,0,0,0
2020,3,12,"愛知",111,1009,0,0,0,0
2020,3,12,"三重",7,181,0,0,0,0
2020,3,12,"滋賀",1,91,0,0,0,0
2020,3,12,"京都",17,544,0,0,0,0
2020,3,12,"大阪",90,0,0,0,0,0
2020,3,12,"兵庫",43,540,0,0,0,0
2020,3,12,"奈良",8,113,0,0,0,0
2020,3,12,"和歌山",14,996,0,0,0,0
2020,3,12,"鳥取",0,86,0,0,0,0
2020,3,12,"島根",0,76,0,0,0,0
2020,3,12,"岡山",0,141,0,0,0,0
2020,3,12,"広島",1,376,0,0,0,0
2020,3,12,"山口",3,122,0,0,0,0
2020,3,12,"徳島",1,67,0,0,0,0
2020,3,12,"香川",0,91,0,0,0,0
2020,3,12,"愛媛",2,153,0,0,0,0
2020,3,12,"高知",12,221,0,0,0,0
2020,3,12,"福岡",3,509,0,0,0,0
2020,3,12,"佐賀",0,50,0,0,0,0
2020,3,12,"長崎",0,140,0,0,0,0
2020,3,12,"熊本",6,0,0,0,0,0
2020,3,12,"大分",1,138,0,0,0,0
2020,3,12,"宮崎",1,97,0,0,0,0
2020,3,12,"鹿児島",0,0,0,0,0,0
2020,3,12,"沖縄",3,196,0,0,0,0
2020,3,13,"北海道",136,1322,0,0,0,0
2020,3,13,"青森",0,70,0,0,0,0
2020,3,13,"岩手",0,22,0,0,0,0
2020,3,13,"宮城",1,109,0,0,0,0
2020,3,13,"秋田",2,94,0,0,0,0
2020,3,13,"山形",0,110,0,0,0,0
2020,3,13,"福島",1,107,0,0,0,0
2020,3,13,"茨城",0,389,0,0,0,0
2020,3,13,"栃木",2,201,0,0,0,0
2020,3,13,"群馬",3,115,0,0,0,0
2020,3,13,"埼玉",21,440,0,0,0,0
2020,3,13,"千葉",29,0,0,0,0,0
2020,3,13,"東京",77,1582,0,0,0,0
2020,3,13,"神奈川",46,0,0,0,0,0
2020,3,13,"新潟",14,0,0,0,0,0
2020,3,13,"富山",0,49,0,0,0,0
2020,3,13,"石川",7,146,0,0,0,0
2020,3,13,"福井",0,74,0,0,0,0
2020,3,13,"山梨",2,267,0,0,0,0
2020,3,13,"長野",3,255,0,0,0,0
2020,3,13,"岐阜",2,227,0,0,0,0
2020,3,13,"静岡",3,0,0,0,0,0
2020,3,13,"愛知",114,1103,0,0,0,0
2020,3,13,"三重",7,198,0,0,0,0
2020,3,13,"滋賀",1,99,0,0,0,0
2020,3,13,"京都",17,628,0,0,0,0
2020,3,13,"大阪",93,0,0,0,0,0
2020,3,13,"兵庫",56,581,0,0,0,0
2020,3,13,"奈良",8,131,0,0,0,0
2020,3,13,"和歌山",14,1008,0,0,0,0
2020,3,13,"鳥取",0,93,0,0,0,0
2020,3,13,"島根",0,80,0,0,0,0
2020,3,13,"岡山",0,141,0,0,0,0
2020,3,13,"広島",1,423,0,0,0,0
2020,3,13,"山口",3,128,0,0,0,0
2020,3,13,"徳島",1,70,0,0,0,0
2020,3,13,"香川",0,98,0,0,0,0
2020,3,13,"愛媛",2,161,0,0,0,0
2020,3,13,"高知",12,229,0,0,0,0
2020,3,13,"福岡",3,522,0,0,0,0
2020,3,13,"佐賀",1,52,0,0,0,0
2020,3,13,"長崎",0,150,0,0,0,0
2020,3,13,"熊本",6,0,0,0,0,0
2020,3,13,"大分",1,148,0,0,0,0
2020,3,13,"宮崎",1,113,0,0,0,0
2020,3,13,"鹿児島",0,0,0,0,0,0
2020,3,13,"沖縄",3,198,0,0,0,0
2020,3,14,"北海道",142,1322,0,0,0,0
2020,3,14,"青森",0,70,0,0,0,0
2020,3,14,"岩手",0,22,0,0,0,0
2020,3,14,"宮城",1,109,0,0,0,0
2020,3,14,"秋田",2,94,0,0,0,0
2020,3,14,"山形",0,110,0,0,0,0
2020,3,14,"福島",2,107,0,0,0,0
2020,3,14,"茨城",0,389,0,0,0,0
2020,3,14,"栃木",2,201,0,0,0,0
2020,3,14,"群馬",5,115,0,0,0,0
2020,3,14,"埼玉",28,440,0,0,0,0
2020,3,14,"千葉",31,0,0,0,0,0
2020,3,14,"東京",87,1653,0,0,0,0
2020,3,14,"神奈川",49,0,0,0,0,0
2020,3,14,"新潟",14,0,0,0,0,0
2020,3,14,"富山",0,49,0,0,0,0
2020,3,14,"石川",7,146,0,0,0,0
2020,3,14,"福井",0,74,0,0,0,0
2020,3,14,"山梨",2,267,0,0,0,0
2020,3,14,"長野",4,255,0,0,0,0
2020,3,14,"岐阜",2,227,0,0,0,0
2020,3,14,"静岡",3,0,0,0,0,0
2020,3,14,"愛知",121,1103,0,0,0,0
2020,3,14,"三重",8,198,0,0,0,0
2020,3,14,"滋賀",1,99,0,0,0,0
2020,3,14,"京都",17,628,0,0,0,0
2020,3,14,"大阪",103,0,0,0,0,0
2020,3,14,"兵庫",60,581,0,0,0,0
2020,3,14,"奈良",8,131,0,0,0,0
2020,3,14,"和歌山",14,1008,0,0,0,0
2020,3,14,"鳥取",0,93,0,0,0,0
2020,3,14,"島根",0,80,0,0,0,0
2020,3,14,"岡山",0,141,0,0,0,0
2020,3,14,"広島",1,423,0,0,0,0
2020,3,14,"山口",3,128,0,0,0,0
2020,3,14,"徳島",1,70,0,0,0,0
