"week","pref","pop","count"
6,"01.Hokkaido",52.86,0
6,"02.Aomori-ken",12.63,0
6,"03.Iwate-ken",12.41,0
6,"04.Miyagi-ken",23.16,0
6,"05.Akita-ken",9.81,0
6,"06.Yamagata-ken",10.9,0
6,"07.Fukushima-ken",18.64,0
6,"08.Ibaraki-ken",28.77,0
6,"09.Tochigi-ken",19.46,0
6,"10.Gumma-ken",19.52,0
6,"11.Saitama-ken",73.3,0
6,"12.Chiba-ken",62.55,0
6,"13.Tokyo-to",138.22,10
6,"14.Kanagawa-ken",91.77,2
6,"15.Niigata-ken",22.46,0
6,"16.Toyama-ken",10.5,0
6,"17.Ishikawa-ken",11.43,0
6,"18.Fukui-ken",7.74,0
6,"19.Yamanashi-ken",8.17,0
6,"20.Nagano-ken",20.63,0
6,"21.Gifu-ken",19.97,0
6,"22.Shizuoka-ken",36.59,0
6,"23.Aichi-ken",75.37,0
6,"24.Mie-ken",17.91,0
6,"25.Shiga-ken",14.12,0
6,"26.Kyoto-fu",25.91,0
6,"27.Osaka-fu",88.13,0
6,"28.Hyogo-ken",54.84,0
6,"29.Nara-ken",13.39,1
6,"30.Wakayama-ken",9.35,0
6,"31.Tottori-ken",5.6,0
6,"32.Shimane-ken",6.8,0
6,"33.Okayama-ken",18.98,0
6,"34.Hiroshima-ken",28.17,0
6,"35.Yamaguchi-ken",13.7,0
6,"36.Tokushima-ken",7.36,0
6,"37.Kagawa-ken",9.62,0
6,"38.Ehime-ken",13.52,0
6,"39.Kochi-ken",7.06,0
6,"40.Fukuoka-ken",51.07,0
6,"41.Saga-ken",8.19,0
6,"42.Nagasaki-ken",13.41,0
6,"43.Kumamoto-ken",17.57,0
6,"44.Oita-ken",11.44,0
6,"45.Miyazaki-ken",10.81,0
6,"46.Kagoshima-ken",16.14,0
6,"47.Okinawa-ken",14.48,0
7,"01.Hokkaido",52.86,1
7,"02.Aomori-ken",12.63,0
7,"03.Iwate-ken",12.41,0
7,"04.Miyagi-ken",23.16,0
7,"05.Akita-ken",9.81,0
7,"06.Yamagata-ken",10.9,0
7,"07.Fukushima-ken",18.64,0
7,"08.Ibaraki-ken",28.77,0
7,"09.Tochigi-ken",19.46,0
7,"10.Gumma-ken",19.52,0
7,"11.Saitama-ken",73.3,2
7,"12.Chiba-ken",62.55,4
7,"13.Tokyo-to",138.22,20
7,"14.Kanagawa-ken",91.77,13
