"year","month","date","pref","testedPositive","peopleTested","hospitalized","serious","discharged","deaths"
2020,2,8,"東京",3,0,0,0,0,0
2020,2,8,"神奈川",1,0,0,0,0,0
2020,2,9,"東京",3,0,0,0,0,0
2020,2,9,"神奈川",1,0,0,0,0,0
2020,2,10,"東京",3,0,0,0,0,0
2020,2,10,"神奈川",1,0,0,0,0,0
2020,2,11,"東京",3,0,0,0,0,0
2020,2,11,"神奈川",2,0,0,0,0,0
2020,2,12,"東京",3,0,0,0,0,0
2020,2,12,"神奈川",2,0,0,0,0,0
2020,2,13,"東京",4,0,0,0,0,0
2020,2,13,"神奈川",3,0,0,0,0,0
2020,2,14,"東京",6,0,0,0,0,0
2020,2,14,"神奈川",4,0,0,0,0,0
2020,2,14,"沖縄",1,0,0,0,0,0
2020,2,15,"東京",14,130,0,0,0,0
2020,2,15,"神奈川",4,0,0,0,0,0
2020,2,15,"沖縄",1,0,0,0,0,0
2020,2,16,"東京",19,204,0,0,0,0
2020,2,16,"神奈川",4,0,0,0,0,0
2020,2,16,"沖縄",1,0,0,0,0,0
2020,2,17,"東京",19,211,0,0,0,0
2020,2,17,"神奈川",5,0,0,0,0,0
2020,2,17,"沖縄",1,0,0,0,0,0
2020,2,18,"東京",22,235,0,0,0,0
2020,2,18,"神奈川",6,0,0,0,0,0
2020,2,18,"沖縄",1,0,0,0,0,0
2020,2,19,"東京",25,315,0,0,0,0
2020,2,19,"神奈川",8,0,0,0,0,0
2020,2,19,"沖縄",2,0,0,0,0,0
2020,2,20,"東京",25,375,0,0,0,0
2020,2,20,"神奈川",10,0,0,0,0,0
2020,2,20,"沖縄",3,0,0,0,0,0
2020,2,21,"東京",28,410,0,0,0,0
2020,2,21,"神奈川",13,0,0,0,0,0
2020,2,21,"沖縄",3,0,0,0,0,0
2020,2,22,"東京",29,444,0,0,0,0
2020,2,22,"神奈川",14,0,0,0,0,0
2020,2,22,"沖縄",3,0,0,0,0,0
2020,2,23,"東京",29,451,0,0,0,0
2020,2,23,"神奈川",14,0,0,0,0,0
2020,2,23,"沖縄",3,0,0,0,0,0
2020,2,24,"東京",32,465,0,0,0,0
2020,2,24,"神奈川",18,0,0,0,0,0
2020,2,24,"沖縄",3,0,0,0,0,0
2020,2,25,"東京",32,509,0,0,0,0
2020,2,25,"神奈川",18,0,0,0,0,0
2020,2,25,"沖縄",3,0,0,0,0,0
